index,Rooms,Type,Price,Postcode,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,index,zipcode,airbnb price mean,airbnb record count,airbnb weekly price_mean,airbnb monthly price mean,Price_log
0,2,h,1480000.0,3067.0,,,-37.7996,144.9984,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.1702617153949575
1,2,h,1035000.0,3067.0,79.0,1900.0,-37.8079,144.9934,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.014940349792937
2,3,h,1465000.0,3067.0,150.0,1900.0,-37.8093,144.9944,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.165837624690128
3,3,h,850000.0,3067.0,,,-37.7969,144.9969,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.929418925714293
4,4,h,1600000.0,3067.0,142.0,2014.0,-37.8072,144.9941,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.204119982655925
5,2,h,941000.0,3067.0,,,-37.8041,144.9953,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.973589623427257
6,3,h,1876000.0,3067.0,210.0,1910.0,-37.8024,144.9993,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.273232834043045
7,2,h,1636000.0,3067.0,107.0,1890.0,-37.806,144.9954,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.213783299335304
8,1,u,300000.0,3067.0,,,-37.8008,144.9973,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.477121254719663
9,2,h,1097000.0,3067.0,75.0,1900.0,-37.801,144.9989,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.040206627574711
10,2,u,700000.0,3067.0,,,-37.811,145.0067,Northern Metropolitan,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.845098040014257
