index,Rooms,Price,Postcode,BuildingArea,YearBuilt,Lattitude,Longtitude,index.1,zipcode,airbnb price mean,airbnb record count,airbnb weekly price_mean,airbnb monthly price mean,Price_log,Type_h,Type_t,Type_u,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,Rooms_0.0,Rooms_1.0,Rooms_2.0,Price_0.0,Price_1.0,Price_2.0,pca1_scaled,pca2_scaled,Type
0,2,1480000.0,3067.0,111.0,1986.8,-37.7996,144.9984,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.1702617153949575,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.37576697708762324,0.2819124514509945,h
1,2,1035000.0,3067.0,79.0,1900.0,-37.8079,144.9934,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.014940349792937,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0853519545103572,-1.2704483883525965,h
2,3,1465000.0,3067.0,150.0,1900.0,-37.8093,144.9944,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.165837624690128,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.7424262135105808,0.32394445377064546,h
3,3,850000.0,3067.0,111.0,1986.8,-37.7969,144.9969,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.929418925714293,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.9554702556109469,-1.2989885361514415,h
4,4,1600000.0,3067.0,142.0,2014.0,-37.8072,144.9941,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.204119982655925,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.8714019993032724,0.2909413410122987,h
5,2,941000.0,3067.0,111.0,1986.8,-37.8041,144.9953,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.973589623427257,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1241578977406537,-1.30436359236749,h
6,3,1876000.0,3067.0,210.0,1910.0,-37.8024,144.9993,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.273232834043045,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.7381787046505348,0.31898684298191443,h
7,2,1636000.0,3067.0,107.0,1890.0,-37.806,144.9954,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.213783299335304,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33250743539233646,0.32017164081495003,h
8,1,300000.0,3067.0,111.0,1986.8,-37.8008,144.9973,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,5.477121254719663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.327775318544985,-0.9058784189758162,u
9,2,1097000.0,3067.0,75.0,1900.0,-37.801,144.9989,57.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,6.040206627574711,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.085186367055609,-1.271552583399589,h
